,Unnamed: 0,type,Density,GSA,VSA,VF,PV,LCD,PLD,UG
56,56,XADCOW_CoRE,0.87,1432.8,1245.2,0.67,0.77,13.96,13.62,2.0
57,57,YILJAG_CoRE,0.79,2743.4,2161.0,0.69,0.91,9.11,6.0,2.11
58,58,YOHKOX01_CSD17,1.19,0.0,0.0,0.33,0.28,2.61,1.44,0.2
59,59,VAJTUX_CoRE,1.45,0.0,0.0,0.28,0.32,4.47,2.92,0.04
60,60,KEXFAU_CSD17,0.83,1969.6,1640.74,0.64,0.77,4.68,4.01,0.93
61,61,GIZXET_CSD17,0.98,821.29,808.89,0.58,0.59,4.76,3.82,0.54
62,62,CIJBEE_CSD17,1.21,1028.04,1243.24,0.57,0.48,6.79,4.74,0.72
63,63,NIJTOP_CSD17,0.38,4794.0,1831.72,0.85,2.24,10.42,9.84,8.21
64,64,ENISUQ_CSD17,0.99,1593.22,1580.89,0.58,0.58,6.64,4.38,0.93
65,65,OGALIT_CSD17,1.18,837.08,985.19,0.6,0.51,6.37,4.14,0.69
66,66,FEJKEM_CoRE,2.13,0.0,0.0,0.09,0.18,3.46,3.09,0.01
67,67,TAFYAC_CSD17,1.67,502.34,841.1,0.53,0.32,6.06,4.79,0.77
68,68,KOHKIC_CSD17,0.86,1719.98,1481.39,0.65,0.76,9.64,7.15,1.55
69,69,ILIGEP_CoRE,1.86,325.9,606.0,0.3,0.23,5.4,4.22,0.31
