,Unnamed: 0,type,Density,GSA,VSA,VF,PV,LCD,PLD,UG
127,127,NUWVIM_CSD17,1.17,373.61,437.26,0.48,0.41,4.96,3.9,0.3
128,128,SEHXEJ_CSD17,1.1,1457.02,1600.85,0.62,0.56,5.64,5.0,0.91
129,129,GAZTAE_CSD17,1.04,872.13,905.07,0.56,0.54,4.86,4.36,0.37
130,130,SOZSUX_CSD17,1.02,1419.89,1448.57,0.63,0.62,8.71,3.97,0.77
131,131,EYACOX_CoRE,0.96,2397.9,2306.7,0.74,0.72,8.14,5.87,1.67
132,132,BENHOT_CSD17,1.0,796.9,799.24,0.55,0.55,5.4,3.76,0.57
133,133,TIQGIK_CoRE,2.45,0.0,0.0,0.05,0.15,3.11,2.56,0.17
134,134,IYUBAG_CSD17,0.88,1377.24,1205.69,0.59,0.67,6.03,4.27,0.94
135,135,XADDOX_CoRE,1.22,1130.6,1378.0,0.52,0.46,5.56,4.26,0.67
136,136,MURNIX_CoRE,2.35,0.0,0.0,0.1,0.16,3.38,2.56,0.02
137,137,GOMFUL_CSD17,1.21,882.11,1066.51,0.5,0.41,8.41,7.08,0.73
138,138,HIYGIH_CSD17,0.73,2676.6,1955.55,0.75,1.02,17.09,6.69,2.62
139,139,TAFYAC_CSD17,1.67,502.34,841.1,0.53,0.32,6.06,4.79,0.77
