sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,1.0365710850102556,1.4129682532198036
2,0.8605283321312496,0.9668739477294446
3,0.7282210673136371,0.6523730110756033
4,0.6081644838324616,0.5018294805279948
5,0.5826432237071653,0.4350785279387318
6,0.5327090489608902,0.40528401066020137
7,0.5055564695554122,0.3672769357632899
8,0.4884664264193604,0.3389853529721065
9,0.48753239526067477,0.3196482310161333
10,0.45322446084022516,0.3037125682800276
11,0.4367538773949657,0.2923990164341398
12,0.4323594119293349,0.2748892181735069
13,0.42493000085439003,0.26607249474262495
14,0.4058425891143935,0.25110036990820755
15,0.39669411888292855,0.24395184936199837
16,0.3901657880118915,0.23728137075405475
17,0.391661871101175,0.22572441579607594
18,0.38062621694377485,0.22315936933728397
19,0.36291443335371354,0.2010679529682599
20,0.362844821278538,0.19014413194470453
21,0.35820692371470586,0.18665729134056433
22,0.3583847149206059,0.18231926368026408
23,0.36483910488443716,0.17986452387630722
24,0.3708049397873027,0.17473152009831783
25,0.3478060390523502,0.1723164647608689
26,0.3738580998267446,0.16803734925443103
27,0.3808690362402371,0.1640327428217316
28,0.36905982321075026,0.15992212195241498
29,0.36698848189413547,0.16027211367196742
30,0.3761254598583494,0.15455702154245504
31,0.3556493240829025,0.15103897443321435
32,0.3378838811005865,0.13018519447308857
33,0.33124263345343724,0.1268550519847164
34,0.3285285322368145,0.12656188891697256
35,0.3488016321254628,0.12548454450917026
36,0.3231593886166811,0.12116521897990894
37,0.3451150985998767,0.11768175790195352
38,0.3360279758253268,0.12096789422913778
39,0.3287171246239117,0.11635965448548097
40,0.33016849535703663,0.11440931405221035
41,0.3288312440216541,0.1127356399315761
42,0.3216689134218863,0.11243361274093988
43,0.32464377333010946,0.1109599570631897
44,0.32172997448699814,0.11041503672839212
45,0.3308879652555499,0.11025429480818583
46,0.29427657479047775,0.08984281721984644
47,0.29429936204744234,0.08981802682867064
48,0.2966401356352227,0.08812779263369196
49,0.29066747306074414,0.08631363234413365
50,0.28148337963649206,0.08483975893317389
51,0.28728425158773147,0.08904286187105853
52,0.28350153067282263,0.08143051001282725
53,0.27760926127433777,0.06721266328240143
54,0.27771504455591955,0.06555561374570001
55,0.25230704572583945,0.06277574009054777
56,0.2666999507290977,0.06648292794732882
57,0.23025597407349518,0.05917077171253201
58,0.22275765276593829,0.03886906012011679
59,0.21651737597478293,0.037824782036111906
60,0.21146141341967248,0.035900246300486535
61,0.2217880556349244,0.03928917316130368
62,0.2176669231685145,0.03699157528375604
63,0.19201263686801712,0.0314152810498587
64,0.20075845453781746,0.03445136084960967
65,0.1976853358724288,0.032142109738299465
66,0.19162742850823067,0.026429811388611883
67,0.2060763415257846,0.030937243822722556
68,0.19391792567553268,0.02826271079383244
69,0.18128982803065866,0.03233883970307756
