,Unnamed: 0,type,Density,GSA,VSA,VF,PV,LCD,PLD,UG
204,204,WUCRUH_CoRE,1.71,135.3,231.4,0.28,0.22,4.32,3.81,0.2
205,205,EZUCIM_CoRE,1.0,1238.0,1241.6,0.56,0.6,5.27,4.42,0.69
206,206,PUPXII_CoRE,1.46,0.0,0.0,0.16,0.29,3.89,2.97,0.06
207,207,WOGHEG_CoRE,1.24,0.0,0.0,0.4,0.4,4.99,2.99,0.19
208,208,GEVXAI_CoRE,2.06,0.0,0.0,0.19,0.2,3.72,2.69,0.22
209,209,IQUNAJ_CoRE,1.73,0.0,0.0,0.24,0.19,2.83,2.52,0.44
210,210,YENTIV_CSD17,1.4,0.0,0.0,0.45,0.32,4.06,2.1,0.25
211,211,VIPXUO_CoRE,1.19,0.0,0.0,0.35,0.41,4.31,3.24,0.09
212,212,VUMBIP_CSD17,1.05,688.88,720.8,0.54,0.52,6.32,3.77,0.7
213,213,MOXJOZ_CoRE,0.97,0.0,0.0,0.58,0.6,10.21,2.89,1.07
214,214,EBIJAC_CoRE,1.36,346.3,470.2,0.31,0.35,5.69,4.35,0.42
215,215,GUPZAS03_CSD17,0.98,1386.23,1355.59,0.6,0.62,6.16,5.24,0.59
216,216,YICGOI_CoRE,1.12,0.0,0.0,0.32,0.43,5.21,2.63,0.19
217,217,VAXTAR_CSD17,1.11,0.0,0.0,0.52,0.47,4.85,3.45,0.42
218,218,JUJVER_CSD17,1.12,747.07,840.41,0.51,0.45,5.22,4.07,0.39
219,219,WESYOJ_CSD17,1.14,755.57,857.63,0.56,0.49,4.98,4.2,0.27
220,220,VAGMAT_CoRE,0.36,5202.7,1897.6,0.89,2.33,14.92,13.26,8.5
221,221,CIDWIX_CSD17,1.23,508.26,625.11,0.53,0.43,5.02,4.19,0.63
222,222,SADMOB_CoRE,1.12,1094.4,1227.1,0.52,0.52,6.04,5.85,0.56
223,223,LAVVAF_CSD17,0.9,1274.38,1147.89,0.62,0.68,5.35,4.16,1.0
224,224,UHIXUF_CSD17,0.8,1892.59,1512.8,0.62,0.78,5.16,4.21,0.72
225,225,CATFEK_CSD17,1.49,339.57,506.65,0.43,0.29,5.28,3.96,0.22
226,226,DEFYIY_CSD17,1.02,1070.28,1092.71,0.56,0.55,8.14,6.7,0.94
227,227,VIGHOK_CSD17,0.84,1764.12,1488.0,0.63,0.74,8.79,6.66,1.24
228,228,VUQLEZ_CoRE,2.26,0.0,0.0,0.09,0.15,3.98,2.64,0.04
229,229,SOHNAF_CSD17,0.61,3482.82,2124.89,0.76,1.25,9.49,8.48,3.03
230,230,QUDLUX_CSD17,0.84,2155.32,1806.82,0.72,0.86,8.01,7.38,2.92
231,231,FUNBOG_UM,0.58,3583.92,1945.68,0.74,1.27,12.59,11.01,4.43
232,232,XEXLIX_CSD17,1.24,830.74,1030.94,0.52,0.42,7.04,6.65,0.46
233,233,KIVFEB_CoRE,1.44,1240.3,1781.5,0.49,0.41,6.52,5.22,1.0
234,234,POYGOA_CSD17,1.79,0.0,0.0,0.43,0.24,4.92,1.89,0.12
235,235,AGAFEU_CSD17,1.0,1385.06,1380.94,0.54,0.54,5.9,5.3,0.96
236,236,BUZCAB_CSD17,0.94,626.36,589.19,0.55,0.59,5.09,3.92,0.66
237,237,NABNUA_CoRE,1.44,0.0,0.0,0.2,0.31,4.41,2.88,0.07
238,238,MOJQOT_CSD17,1.45,318.95,461.09,0.39,0.27,5.32,4.96,0.13
239,239,QUJJOW_CSD17,0.77,2877.78,2216.97,0.71,0.92,8.83,6.75,2.27
240,240,ISUXAW_CoRE,2.26,0.0,0.0,0.12,0.17,3.25,2.51,0.15
241,241,XENMOU_CoRE,1.6,0.0,0.0,0.33,0.27,4.3,3.45,0.12
242,242,NERVIP_CoRE,1.42,0.0,0.0,0.26,0.3,4.13,2.52,0.18
243,243,CEMKUB_CSD17,0.89,978.2,870.76,0.59,0.66,6.66,6.04,0.85
244,244,ACAKUM_CoRE,1.59,0.0,0.0,0.26,0.27,4.47,3.01,0.32
245,245,EHIJAH_CoRE,0.39,4502.8,1734.2,0.88,2.21,18.49,11.7,7.65
246,246,UVEVAT_CoRE,0.99,1300.8,1288.4,0.6,0.62,5.06,3.86,0.8
247,247,IROPAH_CSD17,1.08,535.26,580.58,0.53,0.49,5.14,3.74,0.47
248,248,BANTIV02_CSD17,1.23,0.0,0.0,0.44,0.36,3.97,1.56,0.04
249,249,CAKYIY_CoRE,2.1,0.0,0.0,0.27,0.21,4.03,2.74,0.31
250,250,QEGGUE_CSD17,0.68,3024.16,2059.08,0.7,1.03,8.61,6.73,2.52
