sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,1.2018565937578678,1.6292358212651383
2,0.8194063860507947,0.7762682109092874
3,0.6925704440410647,0.6042582373247897
4,0.5981652163565159,0.4756818176482653
5,0.528866290123335,0.40215130125398496
6,0.482803978489978,0.3231313182080327
7,0.4370070381600942,0.28623801190344916
8,0.43228027198676555,0.27503696396932553
9,0.41942057200734106,0.25162250819799115
10,0.41462338674813515,0.23598560298066676
11,0.392875127548618,0.2251237649180018
12,0.38785204683244223,0.2147165545014732
13,0.3855296693135585,0.20535633192261996
14,0.34136823713673015,0.165518276596926
15,0.3176300253665873,0.12872963395337225
16,0.30714951093707765,0.12067420982120929
17,0.3097283939187016,0.11922145515771573
18,0.3114721991185631,0.11390592043712688
19,0.31944736319886785,0.11473093196492029
20,0.3143367527531726,0.10936054700850069
21,0.3263994338853019,0.10867787190537267
22,0.3125233069647636,0.10387342576115421
23,0.3167791216607605,0.09944846756069235
24,0.310349472021418,0.09674847189611269
25,0.31575975812758716,0.09697209593004455
26,0.32022832305729393,0.09667481380270188
27,0.2988379777052573,0.09089744497067949
28,0.2969197653617177,0.09384189461766032
29,0.28770646626289403,0.08641996584905602
30,0.2945667163804174,0.0892289666999031
31,0.29435679217002225,0.08672934297580705
32,0.2863388435755458,0.08614668249912387
33,0.2842637352453811,0.082669295276864
34,0.28862551345144,0.08324346720096959
35,0.2797685127088002,0.07980681952218104
36,0.2894077345856598,0.08421132582888141
37,0.2961769617029599,0.07946863384900654
38,0.28069111161679033,0.0771151492134454
39,0.2863746567581381,0.07862785614446396
40,0.2942281932362489,0.074270903817927
41,0.2894437125729663,0.0756824004484427
42,0.2949318526610732,0.0744111491230513
43,0.28788303988959113,0.07391448656768007
44,0.3007033993676305,0.07794474735751158
45,0.29370810204425024,0.07522487183196153
46,0.27455874666678054,0.07043023722583715
47,0.2647196649493916,0.06089983882654044
48,0.252826435241316,0.04789680253079012
49,0.25007683839116773,0.04801049657096416
50,0.23696568602962154,0.04196160481582802
51,0.24574127215040584,0.044393212516430594
52,0.24673856519907714,0.04653609958101033
53,0.23962140542481625,0.04043910591720875
54,0.24345711545433316,0.04022627900239207
55,0.23219325934456927,0.03906735569120726
56,0.2347691638852869,0.04308278798075548
57,0.23393722429977995,0.040169214919808696
58,0.2281916005707213,0.03916771778173339
59,0.23231019637840136,0.039429023610227903
60,0.22911536590435674,0.038846822851121704
61,0.2364157350701945,0.04016068244231745
62,0.23439889079332354,0.038070190400398114
63,0.23831123597494194,0.03723051611321703
64,0.23540201673018082,0.03742216783869313
65,0.2338982855315719,0.037482572270408354
66,0.23039358750943625,0.035309735950812056
67,0.22584909577241966,0.03524456793167313
68,0.22671529783202068,0.03552990596144778
69,0.23080041606511387,0.03477695791962112
70,0.22656970549161945,0.03553636357157983
71,0.23109859873673746,0.03305248456835886
72,0.23112211832829885,0.03443847722050114
73,0.2304574448828186,0.033391465939611016
74,0.23188863496482373,0.033322167711530334
75,0.22363721703205788,0.03215084517393197
76,0.22915474573948558,0.03397144694687429
77,0.22644029744714497,0.03351342185196403
78,0.22860028400059257,0.03213433024857197
79,0.22694516957019056,0.033390276293182024
80,0.23086029599181243,0.03456859728425086
81,0.22738974074167867,0.03232919523855874
82,0.2222157017120293,0.03218197458363567
83,0.2227651718961341,0.03133539185043329
84,0.22999080267016372,0.032398874257853004
85,0.22136662329733373,0.03159734883696476
86,0.2291780931694167,0.03213136110982798
87,0.2214023888366563,0.030437382513735175
88,0.2201227155285222,0.029580389139254135
89,0.22057188298712882,0.030072189030319843
90,0.22178561591037682,0.030038387825393763
91,0.22077425543218854,0.0295576226105057
92,0.22434400326332873,0.02943292115551502
93,0.22026582168361972,0.029375754239684564
94,0.21876384088290587,0.02935971083283568
95,0.2209900230855814,0.028721842184634826
96,0.22492636504769326,0.029137220370699442
97,0.21527948667321886,0.02878847995498747
98,0.21631511276321752,0.02864100346150185
99,0.21715876575399723,0.027398251194686505
100,0.21347953579468384,0.027476485253942362
101,0.21533022243210248,0.02680488676963019
102,0.2101127753949591,0.027196908686549746
103,0.22560354429909163,0.02868030965881257
104,0.21240201830331767,0.02639158271477361
105,0.2092340273378151,0.026530774450968575
106,0.2127180819160172,0.027302349663410785
107,0.21251606766613468,0.027287356946959742
108,0.20966614038710085,0.026836173100826328
109,0.21559196819897208,0.027793218221960823
110,0.21508243339881303,0.026348285771614546
111,0.21537956123905522,0.027701540269391037
112,0.21644277451719554,0.027577691275375696
113,0.21353450393357448,0.027479179668532628
114,0.21364415625589234,0.027456633955480633
115,0.21698572431185414,0.026569162538097744
116,0.21712294984183142,0.026742931564314416
117,0.21529034121334553,0.02629379460228861
118,0.21034299529237407,0.02572352293930158
119,0.21534477712107555,0.026898069275439404
120,0.2095101776729737,0.02509330903167595
121,0.21188099761520113,0.025070229570579704
122,0.2162036829271487,0.025972832527819643
123,0.20551590039314968,0.026023235776447842
124,0.21139253160889662,0.025302199665080956
125,0.2141545430294105,0.02536187351429275
126,0.2073304407873324,0.024793863698416282
127,0.20722578695629323,0.024608108348946535
128,0.21246426174896105,0.02541210393484347
129,0.20800502698070236,0.024507094633444623
130,0.20702025990826745,0.024678546970147472
131,0.20855341759643387,0.02457239735386072
132,0.20837710284920677,0.024566254026821492
133,0.2182434872825231,0.026756683540955326
