sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,4.3991194453278935,3.4862633560326084
2,4.760493390284345,2.1892559457711296
3,4.372263310310681,1.7311634584600888
4,3.4901390446339082,1.3569515111989834
5,3.173733683522455,1.2694346068070255
6,3.083322977040563,1.021762819687986
7,2.9496217501711874,0.8804865516730446
8,2.8537495304950795,0.8194682925951546
9,2.781689720274778,0.7526024029411604
10,2.9428518322184347,0.84274234756497
11,2.8169136327524233,0.776891623541373
12,2.8277334788321355,0.787686014963384
13,2.9051470042195184,0.7776119404593075
14,2.95429246843927,0.769548915896995
15,2.7509491941543436,0.7216685921143533
16,2.703708189434904,0.7111137827639497
17,2.700072461452094,0.6937435855477532
18,2.6175859083692985,0.6622768649537054
19,2.57423119266524,0.6462770177775757
20,2.503603490077029,0.6168360328968142
21,2.306645696724703,0.5298834387989614
22,2.2737827833091857,0.4872252142433981
23,2.0525769076062312,0.4164800649815301
24,2.1605404332704903,0.41101865743796356
25,1.9986339472355314,0.37969174447157933
26,1.8930956920684878,0.3593268097363937
27,1.8826625632107628,0.34976261156457894
28,1.8135595315401196,0.33657539322266083
29,1.5958221787740534,0.2968003611718883
30,1.5456497271980212,0.29217762428464233
31,1.6152827436688768,0.301270709026108
32,1.4744497782651727,0.2755568957009344
33,1.3545584572435472,0.22472372967833706
34,1.3550195325655103,0.23247044626219157
35,1.2758052397243809,0.22208094313539017
36,1.2568095462410138,0.2064115914728709
37,1.2660791210562465,0.21627722400924748
38,1.1609154146539453,0.18137100583212717
39,1.1595956057977996,0.18168547524505693
40,1.1956243750507765,0.19286942515607422
41,1.1394983001605083,0.17395237365881233
42,1.14986018108605,0.18019396781581182
43,1.149703113749382,0.1610115913146876
44,1.131161338947735,0.1628700083319987
45,1.1067954073429696,0.15481914812164405
46,1.0807594536430174,0.1562228283129231
47,0.998587718098315,0.1501513867404578
48,0.9863399805831873,0.1355245930910777
49,1.0237298409290585,0.1544048551498296
50,1.0122542019130818,0.15232819386138124
51,1.0040619622850406,0.14794617665280432
52,1.0675565389688202,0.16058001166019528
53,1.0620536118512194,0.15154526760802878
54,1.0592547422736667,0.15542498832976828
55,1.027642762522716,0.1486663093330823
56,1.0338490745184268,0.13926250236800616
57,1.0214080097526288,0.1416599727345091
58,0.9769534683954536,0.1290882865217264
59,1.003329807874981,0.13993891848029105
60,0.9966761013658508,0.13736992644741877
61,0.988731051776318,0.13513609627611742
62,0.967684928411675,0.1258858181797138
63,1.0496492045397372,0.14233871853299407
64,1.0179302716898715,0.13173616423452492
65,0.9868947104999388,0.1218973820956601
66,1.0174041656818535,0.12002371778143014
67,0.9885286932167006,0.11573813481296785
68,0.9608861058340896,0.11789917217267563
69,0.9579987844784501,0.11173044881329644
