sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,15.587039810956336,0.0,0.0
6,16.35341613492283,0.0,0.0
7,15.520249924384865,0.0,0.0
8,15.341624903661636,0.0,0.0
9,14.733536408172132,0.0,0.0
10,15.409105067399349,0.0,0.0
11,14.345346471393995,0.0,0.0
12,14.367361836389966,0.0,0.0
13,12.449775625606305,0.0,0.0
14,12.057238960939172,0.0,0.0
15,12.006134729016242,0.0,0.0
16,12.16477563781954,0.0,0.0
17,12.241274597939686,0.0,0.0
18,11.467775762535114,0.0,0.0
19,10.964632336677195,0.0,0.0
20,10.79921809321904,0.0,0.0
21,10.846457619319143,0.0,0.0
22,10.555383689746504,0.0,0.0
23,10.404755921407132,0.0,0.0
24,11.159885687224163,0.0,0.0
25,10.83538089960737,0.0,0.0
26,11.23624603415786,0.0,0.0
27,11.155715290523961,0.0,0.0
28,11.13838734189137,0.0,0.0
29,11.06871279839828,0.0,0.0
30,10.70782447907246,0.0,0.0
31,10.705220567015916,0.0,0.0
32,10.573175437347633,0.0,0.0
33,10.804079437188655,0.0,0.0
34,10.722264443070719,0.0,0.0
35,10.664569524006174,0.0,0.0
36,10.57199964282145,0.0,0.0
37,10.494984013596767,0.0,0.0
38,10.734645931155526,0.0,0.0
39,10.959043049657534,0.0,0.0
40,10.94783078270187,0.0,0.0
41,10.813525729171552,0.0,0.0
42,10.764390985485933,0.0,0.0
43,10.827816102738828,0.0,0.0
44,10.888647470271966,0.0,0.0
45,10.959297304863762,0.0,0.0
46,10.95225637285582,0.0,0.0
47,10.706903929052581,0.0,0.0
48,10.325250905041983,0.0,0.0
49,10.211018159275357,0.0,0.0
50,10.162420159102387,0.0,0.0
51,10.043548875742419,0.0,0.0
52,10.110122242837722,0.0,0.0
53,10.067733108602214,0.0,0.0
54,10.085165203342028,0.0,0.0
55,10.101408431868933,0.0,0.0
56,10.02933326349828,0.0,0.0
57,10.19861734030812,0.0,0.0
58,9.917966207008696,0.0,0.0
59,9.808704834322787,0.0,0.0
60,9.642658201736412,0.0,0.0
61,9.682408870116495,0.0,0.0
62,8.883828616770005,0.0,0.0
63,8.818562894259925,0.0,0.0
64,8.934525606496726,0.0,0.0
65,8.857447802551045,0.0,0.0
66,8.814224651262808,0.0,0.0
67,8.804838662245833,0.0,0.0
68,8.656331145799491,0.0,0.0
69,8.573831916258852,0.0,0.0
70,8.502605779289695,0.0,0.0
71,8.515926543819312,0.0,0.0
72,8.395624702942518,0.0,0.0
73,8.323315844800746,0.0,0.0
74,8.34447686739035,0.0,0.0
75,8.275156957056405,0.0,0.0
76,8.190886758589734,0.0,0.0
77,8.228480775307517,0.0,0.0
78,8.20217658901951,0.0,0.0
79,8.015986933640654,0.0,0.0
80,8.072300541656624,0.0,0.0
81,8.036228722836318,0.0,0.0
82,8.251870468316643,0.0,0.0
83,8.053045546025697,0.0,0.0
84,8.170351359702664,0.0,0.0
85,8.327237048968296,0.0,0.0
86,8.252697406476194,0.0,0.0
87,8.271295084623656,0.0,0.0
88,8.18718146489276,0.0,0.0
89,8.14214825935192,0.0,0.0
90,8.108115318449116,0.0,0.0
91,7.8315818946733895,0.0,0.0
92,7.849594318854721,0.0,0.0
93,7.84033106277754,0.0,0.0
94,7.859282427140278,0.0,0.0
95,7.874649173204019,0.0,0.0
96,8.018663356076061,0.0,0.0
97,7.841447275182358,0.0,0.0
98,7.842850297549784,0.0,0.0
99,7.9244232725747,0.0,0.0
100,7.875896620589009,0.0,0.0
101,7.8457555201340545,0.0,0.0
102,7.836435070422814,0.0,0.0
103,7.845127039274696,0.0,0.0
104,7.87364334399647,0.0,0.0
105,7.928624774784376,0.0,0.0
106,7.8609266447751205,0.0,0.0
107,7.986327750643662,0.0,0.0
108,7.958874892934644,0.0,0.0
109,7.921654881385296,0.0,0.0
110,7.84753573640016,0.0,0.0
111,8.052018927117635,0.0,0.0
112,8.081463446818718,0.0,0.0
113,7.7284573934794505,0.0,0.0
114,7.720699678091365,0.0,0.0
115,7.677155960521228,0.0,0.0
116,7.614866062552974,0.0,0.0
117,7.586334169887728,0.0,0.0
118,7.6091782967179755,0.0,0.0
119,7.691911574443178,0.0,0.0
120,7.689156172194413,0.0,0.0
121,7.691890483307451,0.0,0.0
122,7.6190555946760785,0.0,0.0
123,7.587128482511981,0.0,0.0
124,7.443351317269734,0.0,0.0
125,7.5166167512107505,0.0,0.0
126,7.519000801034445,0.0,0.0
127,7.476885320268383,0.0,0.0
128,7.54646004302297,0.0,0.0
129,7.582665137587504,0.0,0.0
130,7.56573365532111,0.0,0.0
131,7.617910076728823,0.0,0.0
132,7.641189613507649,0.0,0.0
133,7.55531954928947,0.0,0.0
134,7.600476071025529,0.0,0.0
135,7.605953282281977,0.0,0.0
136,7.654659266942325,0.0,0.0
137,7.675323742496657,0.0,0.0
138,7.568253332903889,0.0,0.0
139,7.489594966515938,0.0,0.0
140,7.5613532215833885,0.0,0.0
141,7.550345390723041,0.0,0.0
142,7.561106726581688,0.0,0.0
143,7.591594832733895,0.0,0.0
144,7.561143974606963,0.0,0.0
145,7.574906355015326,0.0,0.0
146,7.473824611544183,0.0,0.0
147,7.489949534213226,0.0,0.0
148,7.467008364658421,0.0,0.0
149,7.446221207313428,0.0,0.0
150,7.4745303503515705,0.0,0.0
