sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,28.015330657127702,0.0,0.0
6,17.95116465814103,0.0,0.0
7,17.52896103325368,0.0,0.0
8,17.475548419461948,0.0,0.0
9,15.87599407258472,0.0,0.0
10,14.89467651085005,0.0,0.0
11,13.424391806152297,0.0,0.0
12,13.46129061929881,0.0,0.0
13,12.710787101332569,0.0,0.0
14,12.04600660160711,0.0,0.0
15,11.82537674143763,0.0,0.0
16,11.035586435050046,0.0,0.0
17,10.730500877385357,0.0,0.0
18,10.762129555175871,0.0,0.0
19,10.49344186925845,0.0,0.0
20,10.820382722465535,0.0,0.0
21,10.737267661075673,0.0,0.0
22,10.399882943812232,0.0,0.0
23,10.423014662130774,0.0,0.0
24,10.381157729282547,0.0,0.0
25,10.311885767200927,0.0,0.0
26,10.491991442925222,0.0,0.0
27,10.189365174107825,0.0,0.0
28,9.725577904009512,0.0,0.0
29,9.340719364243682,0.0,0.0
30,9.647121969106621,0.0,0.0
31,9.530307815147996,0.0,0.0
32,9.542924765840898,0.0,0.0
33,9.474469283622305,0.0,0.0
34,9.31926917844761,0.0,0.0
35,9.588945323397574,0.0,0.0
36,9.304887478220307,0.0,0.0
37,9.419098494842459,0.0,0.0
38,9.410797444476701,0.0,0.0
39,9.420096454592338,0.0,0.0
40,9.395423938020274,0.0,0.0
41,9.459446773807665,0.0,0.0
42,9.572112072576134,0.0,0.0
43,9.430605413237101,0.0,0.0
44,9.445531753029595,0.0,0.0
45,9.416753982057354,0.0,0.0
46,9.42862380679323,0.0,0.0
47,9.424733412688338,0.0,0.0
48,9.406863659282443,0.0,0.0
49,9.506088866512991,0.0,0.0
50,9.335747415759357,0.0,0.0
51,9.496150450149251,0.0,0.0
52,9.519417950838626,0.0,0.0
53,9.637842441119433,0.0,0.0
54,9.874441572352355,0.0,0.0
55,10.038844637106958,0.0,0.0
56,10.070237703627688,0.0,0.0
57,9.86839916066656,0.0,0.0
58,9.620749301654817,0.0,0.0
59,10.238195047163806,0.0,0.0
60,9.993654788474494,0.0,0.0
61,9.74312259071176,0.0,0.0
62,9.763486744053667,0.0,0.0
63,9.474893628333746,0.0,0.0
64,9.321281569114998,0.0,0.0
65,9.41279899860735,0.0,0.0
66,9.609656397806932,0.0,0.0
67,9.656636926344865,0.0,0.0
68,9.611737151339828,0.0,0.0
69,9.666158414641677,0.0,0.0
70,9.608070037572105,0.0,0.0
71,9.569545318576134,0.0,0.0
72,9.371564659321049,0.0,0.0
73,9.736637480988401,0.0,0.0
74,9.665717939129985,0.0,0.0
75,9.671520445111334,0.0,0.0
76,9.234126216277305,0.0,0.0
77,9.32149183885417,0.0,0.0
78,9.185100842473066,0.0,0.0
79,8.724674900558316,0.0,0.0
80,8.705535832207401,0.0,0.0
81,8.702608498105795,0.0,0.0
82,8.642035832156775,0.0,0.0
83,8.63754618737147,0.0,0.0
84,8.513982836249935,0.0,0.0
85,8.600118178846644,0.0,0.0
86,8.634261612286114,0.0,0.0
87,8.505795806102407,0.0,0.0
88,8.817656520723734,0.0,0.0
89,8.903135364813737,0.0,0.0
90,8.805843627006706,0.0,0.0
91,8.737239817147914,0.0,0.0
92,8.559230680090923,0.0,0.0
93,8.714040979951488,0.0,0.0
94,8.722045168093683,0.0,0.0
95,8.788659589422997,0.0,0.0
96,8.728808586190636,0.0,0.0
97,8.696345597921717,0.0,0.0
98,8.637985553602732,0.0,0.0
99,8.67262857252248,0.0,0.0
100,8.737248988147169,0.0,0.0
101,8.781460215990883,0.0,0.0
102,8.565897691908217,0.0,0.0
103,8.733317123833002,0.0,0.0
104,8.793096018256511,0.0,0.0
105,8.58410494389707,0.0,0.0
106,8.349953101885125,0.0,0.0
107,8.44641548046894,0.0,0.0
108,8.428239350888708,0.0,0.0
109,8.401665998137451,0.0,0.0
110,8.388514934807805,0.0,0.0
111,8.492252739459243,0.0,0.0
112,8.445303891963194,0.0,0.0
113,8.359389417739857,0.0,0.0
114,8.35276916947741,0.0,0.0
115,8.387850944555401,0.0,0.0
116,8.475487938920566,0.0,0.0
117,8.344447956242051,0.0,0.0
118,8.28830320732306,0.0,0.0
119,8.081307010206176,0.0,0.0
120,8.148121458807369,0.0,0.0
121,8.21793049533928,0.0,0.0
122,8.274176148780104,0.0,0.0
123,8.139938916485216,0.0,0.0
124,8.246135146417602,0.0,0.0
125,8.271353331403503,0.0,0.0
126,8.145281993414724,0.0,0.0
127,8.183490497696308,0.0,0.0
128,8.069294015030772,0.0,0.0
129,8.148086913682883,0.0,0.0
130,8.082219820909392,0.0,0.0
131,8.062129427345722,0.0,0.0
132,8.143579311855033,0.0,0.0
133,8.174340665504694,0.0,0.0
134,8.119288709396548,0.0,0.0
135,8.234367366215396,0.0,0.0
136,8.14427624020262,0.0,0.0
137,8.144128978008258,0.0,0.0
138,8.097180517231688,0.0,0.0
139,8.137302325709134,0.0,0.0
140,8.040657370230344,0.0,0.0
141,8.111860962669146,0.0,0.0
142,8.06011779603278,0.0,0.0
143,7.945588064575164,0.0,0.0
144,7.987562411911802,0.0,0.0
145,8.009076595536404,0.0,0.0
146,8.010990245869642,0.0,0.0
147,8.026894502063605,0.0,0.0
148,7.984364778450729,0.0,0.0
149,7.859982023847993,0.0,0.0
150,7.73978610419923,0.0,0.0
