sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,15.587039810956336,0.0,0.0
6,15.587211509703106,0.0,0.0
7,15.861143473226061,0.0,0.0
8,16.65311546985073,0.0,0.0
9,14.981865860112595,0.0,0.0
10,15.291754191906003,0.0,0.0
11,14.09241994031644,0.0,0.0
12,13.330341081037629,0.0,0.0
13,11.75004101990263,0.0,0.0
14,11.350637032524162,0.0,0.0
15,11.12580053389336,0.0,0.0
16,11.309552857514571,0.0,0.0
17,10.829230260553718,0.0,0.0
18,10.054160605740654,0.0,0.0
19,9.806797400967023,0.0,0.0
20,9.752027171911323,0.0,0.0
21,9.768834236422077,0.0,0.0
22,10.170153955880998,0.0,0.0
23,10.403666587159758,0.0,0.0
24,10.391011072337474,0.0,0.0
25,9.83561399570235,0.0,0.0
26,10.149988870440005,0.0,0.0
27,10.383507491881389,0.0,0.0
28,10.334086106876839,0.0,0.0
29,10.692674606437084,0.0,0.0
30,10.282558327197142,0.0,0.0
31,10.314120782651413,0.0,0.0
32,10.176117253851482,0.0,0.0
33,9.589387759982989,0.0,0.0
34,9.741768939990719,0.0,0.0
35,9.716401749196924,0.0,0.0
36,9.560768015047277,0.0,0.0
37,9.613315755005098,0.0,0.0
38,9.780883216967792,0.0,0.0
39,9.732274658596658,0.0,0.0
40,9.685388256828432,0.0,0.0
41,9.598418200051745,0.0,0.0
42,9.738150021490549,0.0,0.0
43,9.578629020810514,0.0,0.0
44,9.68386732100511,0.0,0.0
45,9.44538463766052,0.0,0.0
46,9.50205896783197,0.0,0.0
47,9.676834688013704,0.0,0.0
48,9.620873996643239,0.0,0.0
49,9.887498270034566,0.0,0.0
50,9.586262985101202,0.0,0.0
51,9.36760374120557,0.0,0.0
52,9.463238163801137,0.0,0.0
53,9.410144655951749,0.0,0.0
54,9.441621218078668,0.0,0.0
55,9.279381128505584,0.0,0.0
56,9.999389095325354,0.0,0.0
57,9.866211968515987,0.0,0.0
58,9.881092407785847,0.0,0.0
59,9.947627547874312,0.0,0.0
60,9.962466079208955,0.0,0.0
61,9.490125055198623,0.0,0.0
62,9.413094953236532,0.0,0.0
63,9.76243696393429,0.0,0.0
64,9.559846168273921,0.0,0.0
65,9.54275341815245,0.0,0.0
66,9.244109785689911,0.0,0.0
67,9.359450792046673,0.0,0.0
68,9.407704803393354,0.0,0.0
69,9.02349810082274,0.0,0.0
70,8.90619713198362,0.0,0.0
71,9.025612652706128,0.0,0.0
72,9.005639197938597,0.0,0.0
73,8.906834650701878,0.0,0.0
74,8.99400964943707,0.0,0.0
75,8.975652505023076,0.0,0.0
76,8.779903793757711,0.0,0.0
77,8.741243244517724,0.0,0.0
78,8.826835874827392,0.0,0.0
79,8.672539322039967,0.0,0.0
80,8.553349157756246,0.0,0.0
81,8.560440277012946,0.0,0.0
82,8.481879251474613,0.0,0.0
83,8.51145906811412,0.0,0.0
84,8.48296621590604,0.0,0.0
85,8.419110276290814,0.0,0.0
86,8.429631111890302,0.0,0.0
87,8.350328626812148,0.0,0.0
88,8.39285103328283,0.0,0.0
89,8.37359643212236,0.0,0.0
90,8.433299395403825,0.0,0.0
91,8.345336834396353,0.0,0.0
92,8.386027290175972,0.0,0.0
93,8.391605062805318,0.0,0.0
94,8.409215366494614,0.0,0.0
95,8.349921407902142,0.0,0.0
96,8.258271529845684,0.0,0.0
97,8.320138620329494,0.0,0.0
98,8.287555235225,0.0,0.0
99,8.242650516191388,0.0,0.0
100,8.289868116482607,0.0,0.0
101,8.378605103703714,0.0,0.0
102,8.18388552124854,0.0,0.0
103,8.091418596770502,0.0,0.0
104,8.05069875005747,0.0,0.0
105,8.110443408877643,0.0,0.0
106,8.092741179176286,0.0,0.0
107,8.019566097405395,0.0,0.0
108,7.991250587933559,0.0,0.0
109,7.956005878953789,0.0,0.0
110,7.873162236309135,0.0,0.0
111,7.973921013256671,0.0,0.0
112,7.945336444159143,0.0,0.0
113,7.945176489573906,0.0,0.0
114,7.933908101351642,0.0,0.0
115,7.97482611211041,0.0,0.0
116,7.918448454625969,0.0,0.0
117,8.079869535909207,0.0,0.0
118,7.963893659402714,0.0,0.0
119,8.064465445671646,0.0,0.0
120,8.023524999625351,0.0,0.0
121,8.008097523729981,0.0,0.0
122,8.086117150173017,0.0,0.0
123,7.968728954265179,0.0,0.0
124,7.956412440924536,0.0,0.0
125,7.900302838132699,0.0,0.0
126,7.939021425363979,0.0,0.0
127,7.88457127339636,0.0,0.0
128,7.923419944588395,0.0,0.0
129,7.941122571583072,0.0,0.0
130,7.975117503536708,0.0,0.0
131,7.943285838889265,0.0,0.0
132,7.914679044773678,0.0,0.0
133,8.002523616368784,0.0,0.0
134,7.973334309307677,0.0,0.0
135,8.03882527966141,0.0,0.0
136,7.984096636086305,0.0,0.0
137,7.945994822831616,0.0,0.0
138,7.915662565828476,0.0,0.0
139,7.919582868463571,0.0,0.0
140,7.880315524940495,0.0,0.0
141,7.939087065140458,0.0,0.0
142,7.959986243179898,0.0,0.0
143,7.968212081410213,0.0,0.0
144,8.000605595165762,0.0,0.0
145,7.802282443156921,0.0,0.0
146,7.835541258978551,0.0,0.0
147,7.788462003678145,0.0,0.0
148,7.847063973495791,0.0,0.0
149,7.8454363949443575,0.0,0.0
150,7.845963911076943,0.0,0.0
