sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,29.695987723753394,0.0,0.0
6,16.57990436046007,0.0,0.0
7,15.257424436143994,0.0,0.0
8,14.353260588942138,0.0,0.0
9,14.45244392993182,0.0,0.0
10,14.453164319095931,0.0,0.0
11,14.467946842271914,0.0,0.0
12,13.18682341704855,0.0,0.0
13,12.921287935612773,0.0,0.0
14,12.799790713010589,0.0,0.0
15,13.190373774317294,0.0,0.0
16,13.126466743417978,0.0,0.0
17,12.163258850783375,0.0,0.0
18,12.1472352610843,0.0,0.0
19,12.31159414890761,0.0,0.0
20,12.33801420687573,0.0,0.0
21,11.28212453704675,0.0,0.0
22,11.993364125063216,0.0,0.0
23,12.02774013601175,0.0,0.0
24,11.70913829978158,0.0,0.0
25,11.792002245232704,0.0,0.0
26,11.971732062400392,0.0,0.0
27,11.962217792622145,0.0,0.0
28,12.301925948171895,0.0,0.0
29,12.011575448276126,0.0,0.0
30,11.796999276886757,0.0,0.0
31,11.892744301977181,0.0,0.0
32,11.971131416665239,0.0,0.0
33,11.97698482137122,0.0,0.0
34,11.829859394537586,0.0,0.0
35,11.969758777971709,0.0,0.0
36,11.788835632127013,0.0,0.0
37,11.720748662853138,0.0,0.0
38,11.591117086335409,0.0,0.0
39,11.568936170761582,0.0,0.0
40,11.90161054772861,0.0,0.0
41,11.886265336407423,0.0,0.0
42,10.968396994033553,0.0,0.0
43,10.869341612024407,0.0,0.0
44,11.212510494032488,0.0,0.0
45,11.2260311843948,0.0,0.0
46,11.06815267903891,0.0,0.0
47,10.534995212177506,0.0,0.0
48,10.957963898516565,0.0,0.0
49,10.800009733158712,0.0,0.0
50,11.082649501616169,0.0,0.0
51,10.586972400525008,0.0,0.0
52,10.440617349840693,0.0,0.0
53,10.610182175879638,0.0,0.0
54,10.25086623173032,0.0,0.0
55,10.48239314513199,0.0,0.0
56,10.602672277144297,0.0,0.0
57,10.554942869072748,0.0,0.0
58,10.542513667755983,0.0,0.0
59,10.35592391662205,0.0,0.0
60,10.26733338743379,0.0,0.0
61,10.049222387067134,0.0,0.0
62,9.71031415732514,0.0,0.0
63,9.790849168630942,0.0,0.0
64,9.975046008868366,0.0,0.0
65,9.808500675985504,0.0,0.0
66,9.811523575849728,0.0,0.0
67,9.65136700989924,0.0,0.0
68,9.78101230233168,0.0,0.0
69,9.575698126932194,0.0,0.0
70,9.454494665859912,0.0,0.0
71,9.583081044289388,0.0,0.0
72,9.465270372428012,0.0,0.0
73,9.548752274885839,0.0,0.0
74,9.3030801702435,0.0,0.0
75,9.27405886707722,0.0,0.0
76,9.278603096552889,0.0,0.0
77,9.32441709121759,0.0,0.0
78,9.38147442584941,0.0,0.0
79,9.337432738124518,0.0,0.0
80,9.217357979842934,0.0,0.0
81,9.230212863249719,0.0,0.0
82,9.071737160207007,0.0,0.0
83,9.085457963603629,0.0,0.0
84,9.067588695178424,0.0,0.0
85,8.953196558011635,0.0,0.0
86,9.203482239685808,0.0,0.0
87,9.065622065995141,0.0,0.0
88,9.090080463598984,0.0,0.0
89,9.025201495726915,0.0,0.0
90,9.089160856518978,0.0,0.0
91,8.928590565886314,0.0,0.0
92,8.906825819722735,0.0,0.0
93,8.856261017011459,0.0,0.0
94,8.806066113758554,0.0,0.0
95,8.849266078257793,0.0,0.0
96,8.83607570270112,0.0,0.0
97,8.72096120971016,0.0,0.0
98,8.751261494642998,0.0,0.0
99,8.655297561016749,0.0,0.0
100,8.662345906899677,0.0,0.0
101,8.65218892318636,0.0,0.0
102,8.584897196766402,0.0,0.0
103,8.622796602854136,0.0,0.0
104,8.526466007373001,0.0,0.0
105,8.46670967120832,0.0,0.0
106,8.488783988065622,0.0,0.0
107,8.467207989994527,0.0,0.0
108,8.42725292440313,0.0,0.0
109,8.401148370609286,0.0,0.0
110,8.481184522289245,0.0,0.0
111,8.562379485595551,0.0,0.0
112,8.605870068197573,0.0,0.0
113,8.446529378628343,0.0,0.0
114,8.385125677856186,0.0,0.0
115,8.365458953836145,0.0,0.0
116,8.186925081827336,0.0,0.0
117,8.321484637697289,0.0,0.0
118,8.47397490366837,0.0,0.0
119,8.457153434813204,0.0,0.0
120,8.368299219002358,0.0,0.0
121,8.207242400950058,0.0,0.0
122,8.173059762385614,0.0,0.0
123,8.277555934209518,0.0,0.0
124,8.194656266541761,0.0,0.0
125,8.345668195195863,0.0,0.0
126,8.354943189921153,0.0,0.0
127,8.395760230947701,0.0,0.0
128,8.40293473852842,0.0,0.0
129,8.423701666186984,0.0,0.0
130,8.417324401103302,0.0,0.0
131,8.358467105980441,0.0,0.0
132,8.385914946334315,0.0,0.0
133,8.274869644844177,0.0,0.0
134,8.266629265530712,0.0,0.0
135,8.273761265530595,0.0,0.0
136,8.347797102459912,0.0,0.0
137,8.294920560167036,0.0,0.0
138,8.246414420286998,0.0,0.0
139,8.278354999553745,0.0,0.0
140,8.312556496928616,0.0,0.0
141,8.463090251005761,0.0,0.0
142,8.16307941335858,0.0,0.0
143,8.088985687817438,0.0,0.0
144,8.08046041245942,0.0,0.0
145,8.133138051898127,0.0,0.0
146,8.137935071793997,0.0,0.0
147,8.115580987884254,0.0,0.0
148,8.120507829312576,0.0,0.0
149,7.966519978516614,0.0,0.0
150,7.719612513114837,0.0,0.0
