sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,28.015330657127702,0.0,0.0
6,30.630912390870204,0.0,0.0
7,15.900659256186849,0.0,0.0
8,21.08476897493528,0.0,0.0
9,17.58329778461605,0.0,0.0
10,16.764075897887984,0.0,0.0
11,15.113439984823982,0.0,0.0
12,15.355328423421616,0.0,0.0
13,13.493452818075447,0.0,0.0
14,12.628636754368664,0.0,0.0
15,13.927506081628447,0.0,0.0
16,12.137593031160067,0.0,0.0
17,12.002098866990035,0.0,0.0
18,12.15128998887424,0.0,0.0
19,12.41897512722767,0.0,0.0
20,12.398057279316237,0.0,0.0
21,12.903099068178033,0.0,0.0
22,12.377423602448259,0.0,0.0
23,11.860426997415143,0.0,0.0
24,11.628151790176677,0.0,0.0
25,11.744796779318309,0.0,0.0
26,11.474528970527587,0.0,0.0
27,11.422614567583059,0.0,0.0
28,11.292913170328701,0.0,0.0
29,10.866006550033248,0.0,0.0
30,10.543887095252943,0.0,0.0
31,10.5287153506101,0.0,0.0
32,10.467772181170046,0.0,0.0
33,10.570604326403972,0.0,0.0
34,10.531584735964874,0.0,0.0
35,10.295451320607201,0.0,0.0
36,10.242930779382446,0.0,0.0
37,10.209446736050158,0.0,0.0
38,10.32485449401083,0.0,0.0
39,10.252986711945676,0.0,0.0
40,10.36528729134299,0.0,0.0
41,10.248581872780282,0.0,0.0
42,10.560617475059324,0.0,0.0
43,10.378146171234075,0.0,0.0
44,10.322921646562909,0.0,0.0
45,10.202696547303587,0.0,0.0
46,10.189452580098429,0.0,0.0
47,10.188076247775749,0.0,0.0
48,10.04271568671744,0.0,0.0
49,9.625914018069048,0.0,0.0
50,9.787338782533768,0.0,0.0
51,9.582157936812958,0.0,0.0
52,9.57224802856804,0.0,0.0
53,9.775857153291918,0.0,0.0
54,9.530221605703645,0.0,0.0
55,9.589273089432632,0.0,0.0
56,9.560394737148773,0.0,0.0
57,9.672561638594097,0.0,0.0
58,9.559282161883011,0.0,0.0
59,9.737732074907226,0.0,0.0
60,9.624047708932308,0.0,0.0
61,9.420074886968463,0.0,0.0
62,9.38136972368957,0.0,0.0
63,9.379334505052462,0.0,0.0
64,9.39341698268549,0.0,0.0
65,9.472255304704275,0.0,0.0
66,9.442780921665166,0.0,0.0
67,9.667547594651287,0.0,0.0
68,9.608792156611033,0.0,0.0
69,9.622331221698433,0.0,0.0
70,9.550322194682147,0.0,0.0
71,9.474955010668925,0.0,0.0
72,9.442761481660867,0.0,0.0
73,9.335583459564868,0.0,0.0
74,9.182012573212848,0.0,0.0
75,8.800658675608375,0.0,0.0
76,8.665449421584281,0.0,0.0
77,8.689118221270451,0.0,0.0
78,8.666036332585778,0.0,0.0
79,8.675563204493633,0.0,0.0
80,8.661895269499514,0.0,0.0
81,8.681141607593585,0.0,0.0
82,8.692440947439927,0.0,0.0
83,8.623182927329461,0.0,0.0
84,8.798547838656008,0.0,0.0
85,8.954531602763101,0.0,0.0
86,8.821172899862757,0.0,0.0
87,8.74770391550295,0.0,0.0
88,9.082839545294473,0.0,0.0
89,9.077312315954105,0.0,0.0
90,8.827420349274503,0.0,0.0
91,8.60994143782849,0.0,0.0
92,8.814368218824582,0.0,0.0
93,8.827027820884961,0.0,0.0
94,8.796649173180397,0.0,0.0
95,8.814833950613535,0.0,0.0
96,8.766870886178898,0.0,0.0
97,8.749246229537551,0.0,0.0
98,8.785959993029952,0.0,0.0
99,8.820901853778457,0.0,0.0
100,8.504250070283605,0.0,0.0
101,8.506904610009826,0.0,0.0
102,8.474004505550345,0.0,0.0
103,8.493853259585533,0.0,0.0
104,8.55503295573903,0.0,0.0
105,8.589794545289271,0.0,0.0
106,8.500614178421266,0.0,0.0
107,8.48538205712548,0.0,0.0
108,8.293003470519565,0.0,0.0
109,8.29604330569098,0.0,0.0
110,8.1360588776914,0.0,0.0
111,8.176371853237839,0.0,0.0
112,8.198423896716214,0.0,0.0
113,8.182461714233105,0.0,0.0
114,8.15607519646041,0.0,0.0
115,8.176879210060946,0.0,0.0
116,7.951547109320417,0.0,0.0
117,7.88148423747346,0.0,0.0
118,7.920735162654955,0.0,0.0
119,7.856429579941346,0.0,0.0
120,7.81796987084358,0.0,0.0
121,8.043374334705433,0.0,0.0
122,7.837916828989893,0.0,0.0
123,7.850329409508702,0.0,0.0
124,7.838348045989767,0.0,0.0
125,7.893992993875628,0.0,0.0
126,8.024502716690586,0.0,0.0
127,7.970846933104197,0.0,0.0
128,8.04535986805431,0.0,0.0
129,7.905574038932235,0.0,0.0
130,7.977474875462083,0.0,0.0
131,7.9294214456363,0.0,0.0
132,7.924984326509398,0.0,0.0
133,8.006547632791703,0.0,0.0
134,7.883174611222302,0.0,0.0
135,7.979035180173139,0.0,0.0
136,7.953257438616186,0.0,0.0
137,7.992301833728058,0.0,0.0
138,7.997986956271986,0.0,0.0
139,8.149926220563234,0.0,0.0
140,8.030673893101078,0.0,0.0
141,7.925046957729725,0.0,0.0
142,8.022852194300565,0.0,0.0
143,7.900007394700572,0.0,0.0
144,7.830978807454269,0.0,0.0
145,7.816346897998245,0.0,0.0
146,7.897463026637051,0.0,0.0
147,7.922380722413543,0.0,0.0
148,7.953190581337031,0.0,0.0
149,7.9522593455470005,0.0,0.0
150,7.978602673049164,0.0,0.0
