sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,19.834477558372903,0.0,0.0
6,18.10240252773548,0.0,0.0
7,18.160573485846026,0.0,0.0
8,18.621295291966533,0.0,0.0
9,14.31320067831068,0.0,0.0
10,13.939904305319137,0.0,0.0
11,13.940405548780253,0.0,0.0
12,11.646193017931733,0.0,0.0
13,11.611263816541031,0.0,0.0
14,11.388539903261377,0.0,0.0
15,11.118488229161414,0.0,0.0
16,10.422019690041349,0.0,0.0
17,11.307499931237654,0.0,0.0
18,11.269036642493296,0.0,0.0
19,11.540082377572212,0.0,0.0
20,11.626528966706267,0.0,0.0
21,11.677207677067345,0.0,0.0
22,11.419690736104535,0.0,0.0
23,11.526352702377508,0.0,0.0
24,11.457441385543746,0.0,0.0
25,11.276497491391359,0.0,0.0
26,11.886080146097296,0.0,0.0
27,12.006800879838988,0.0,0.0
28,11.946260701006416,0.0,0.0
29,11.70302998220672,0.0,0.0
30,10.934646960573287,0.0,0.0
31,10.42273114249826,0.0,0.0
32,10.26690659200612,0.0,0.0
33,10.232173151707176,0.0,0.0
34,10.266870103136712,0.0,0.0
35,10.234817403965405,0.0,0.0
36,10.119611908623815,0.0,0.0
37,9.966317892080353,0.0,0.0
38,9.996001427259484,0.0,0.0
39,10.066408975749153,0.0,0.0
40,10.07881071986585,0.0,0.0
41,9.933892737774643,0.0,0.0
42,10.084775732476054,0.0,0.0
43,9.43139687233681,0.0,0.0
44,9.551701271338812,0.0,0.0
45,9.50420690066643,0.0,0.0
46,9.453423152392398,0.0,0.0
47,9.268261662274888,0.0,0.0
48,9.20608459545105,0.0,0.0
49,9.21722555377752,0.0,0.0
50,9.296831590603606,0.0,0.0
51,9.092490476399716,0.0,0.0
52,9.506528737123864,0.0,0.0
53,9.349381095854612,0.0,0.0
54,9.342390125156578,0.0,0.0
55,9.476498787008481,0.0,0.0
56,9.309547742764646,0.0,0.0
57,9.438978169790094,0.0,0.0
58,9.285664033569214,0.0,0.0
59,9.397929059526078,0.0,0.0
60,9.118904779109227,0.0,0.0
61,9.41106181330586,0.0,0.0
62,9.247009383813124,0.0,0.0
63,9.163926231694903,0.0,0.0
64,9.237710712980048,0.0,0.0
65,9.439624134654881,0.0,0.0
66,9.49328844939218,0.0,0.0
67,9.528192995147496,0.0,0.0
68,9.559917477676608,0.0,0.0
69,9.364258726290641,0.0,0.0
70,9.735168429572525,0.0,0.0
71,9.417121917835177,0.0,0.0
72,9.263706040755626,0.0,0.0
73,9.28435496539542,0.0,0.0
74,9.306202296530994,0.0,0.0
75,9.136565609122801,0.0,0.0
76,8.856313243897317,0.0,0.0
77,8.89034333246825,0.0,0.0
78,8.835380456927883,0.0,0.0
79,8.814119002302897,0.0,0.0
80,8.860498417940182,0.0,0.0
81,8.728793365988267,0.0,0.0
82,8.735471206676529,0.0,0.0
83,8.672975995078682,0.0,0.0
84,8.6300463886088,0.0,0.0
85,8.577539247051964,0.0,0.0
86,8.55156536656721,0.0,0.0
87,8.629151145625896,0.0,0.0
88,8.501201681991738,0.0,0.0
89,8.424769124007568,0.0,0.0
90,8.421455752046562,0.0,0.0
91,8.407456169650937,0.0,0.0
92,8.331662081606497,0.0,0.0
93,8.408601724554392,0.0,0.0
94,7.98779582248583,0.0,0.0
95,8.02871331476397,0.0,0.0
96,7.8890770916236175,0.0,0.0
97,8.052833732879321,0.0,0.0
98,7.959625927781949,0.0,0.0
99,8.093638597016795,0.0,0.0
100,8.154992030877896,0.0,0.0
101,8.309427903816148,0.0,0.0
102,8.114255894794061,0.0,0.0
103,8.079519804319053,0.0,0.0
104,8.14597937871577,0.0,0.0
105,8.234637277490675,0.0,0.0
106,8.256356489448578,0.0,0.0
107,8.333200555894042,0.0,0.0
108,8.348790952158367,0.0,0.0
109,8.30213359315637,0.0,0.0
110,8.235833868442153,0.0,0.0
111,8.118793636489857,0.0,0.0
112,8.181577759700172,0.0,0.0
113,8.109116051184609,0.0,0.0
114,8.273266359003905,0.0,0.0
115,8.04393477093168,0.0,0.0
116,7.978951389081649,0.0,0.0
117,7.948116166166126,0.0,0.0
118,8.07225481451077,0.0,0.0
119,8.09008260578824,0.0,0.0
120,8.178109886662368,0.0,0.0
121,8.18551582749655,0.0,0.0
122,8.062944346907566,0.0,0.0
123,8.124406195489255,0.0,0.0
124,8.140110334382824,0.0,0.0
125,8.149522498215017,0.0,0.0
126,8.115274925885133,0.0,0.0
127,8.026943156387636,0.0,0.0
128,8.003080199858221,0.0,0.0
129,8.084674543203919,0.0,0.0
130,8.099655731030012,0.0,0.0
131,8.059768766820575,0.0,0.0
132,7.971519990443185,0.0,0.0
133,7.960479411548974,0.0,0.0
134,7.870488805443697,0.0,0.0
135,7.864539650170613,0.0,0.0
136,7.904226625710431,0.0,0.0
137,7.919649839928363,0.0,0.0
138,7.7068124936045095,0.0,0.0
139,7.851574557760577,0.0,0.0
140,7.743393515957392,0.0,0.0
141,7.780165289041692,0.0,0.0
142,7.716731546745341,0.0,0.0
143,7.56811819401426,0.0,0.0
144,7.679705753271868,0.0,0.0
145,7.651372917452417,0.0,0.0
146,7.631969486281986,0.0,0.0
147,7.723250372754033,0.0,0.0
148,7.642681839422936,0.0,0.0
149,7.741705529742459,0.0,0.0
150,7.7070773752332675,0.0,0.0
